category,title,youtube,order,show
活動紀錄｜精華影片,2023 中華機械 x 林書豪 公益記者會,https://youtu.be/dMENKQu6ULI,1,TRUE
活動紀錄｜精華影片,2023 中華機械 x 林書豪 公益記者會 主題影片B,https://youtu.be/ou5ptAIDbtE,2,TRUE
活動紀錄｜精華影片,2023 中華機械 x 林書豪 公益記者會 主題影片A,https://youtu.be/m8h8rqpJ28Q,3,TRUE
活動紀錄｜精華影片,2023 FORTINET 資安嘉年華,https://youtu.be/VvTkXhi_m-E,4,TRUE
活動紀錄｜精華影片,2023 臺灣獎學金及華語文獎學金新生說明暨歡迎會,https://youtu.be/JHBkHTiIDLQ,5,TRUE
活動紀錄｜精華影片,2023 維豆集團春酒晚宴,https://youtu.be/4UgpgbEPfh0,6,TRUE
活動紀錄｜精華影片,2022 COP27後 全球淨零趨勢解析,https://youtu.be/NAoqdrumFTY,7,TRUE
活動紀錄｜精華影片,2022 1111生活共好行動,https://youtu.be/lBK8xAOb_j4,8,TRUE
活動紀錄｜精華影片,2022 Takao Rock 打狗祭 x PEPERO,https://youtu.be/qPK2P9W1kuY,9,TRUE
活動紀錄｜精華影片,2022 迪卡儂二手市集,https://youtu.be/n97OT6ePyVU,10,TRUE
